Vehicle_Model,Mileage,Maintenance_History,Vehicle_Age,Fuel_Type,Engine_Size,Service_History,Accident_History,Fuel_Efficiency,Battery_Status
Motorcycle,35806,Good,7,Diesel,2500,1,0,15.51467179,New
Bus,55697,Average,5,Petrol,2500,1,3,14.51293372,New
Car,69543,Average,6,Diesel,2000,6,0,12.76971584,Weak
Truck,62782,Poor,2,Petrol,800,6,3,18.90797532,Weak
Bus,64371,Poor,5,Petrol,2000,1,1,16.3240246,Weak
Van,51705,Average,3,Diesel,2000,5,2,12.20777742,Weak
Motorcycle,51744,Average,4,Electric,1500,8,1,15.54790934,New
Truck,47211,Average,1,Diesel,2000,7,3,19.14833671,New
SUV,68194,Average,1,Petrol,2000,6,0,17.22155056,Good
Truck,56294,Poor,8,Electric,1000,2,1,14.08838872,New
Truck,64005,Poor,3,Diesel,1000,4,2,12.47349761,Good
Van,64819,Average,4,Diesel,800,9,0,13.38259033,Good
Bus,65033,Good,8,Diesel,2000,4,1,10.56254214,Weak
Car,40579,Average,5,Electric,1000,7,0,16.11616867,Good
Van,68730,Good,9,Petrol,800,4,0,14.67841482,Good
Motorcycle,33953,Average,10,Diesel,1500,3,2,18.61144595,New
Motorcycle,57116,Average,9,Petrol,800,8,3,12.20629513,New
Bus,43805,Poor,5,Petrol,800,1,1,13.01885199,New
Car,71827,Average,10,Electric,800,2,1,12.80860691,New
Bus,49749,Poor,10,Diesel,2500,3,2,19.29225087,New
Bus,77984,Poor,8,Electric,2500,8,0,16.96364844,Good
Motorcycle,50154,Good,9,Diesel,2500,8,0,17.43894221,Weak
Motorcycle,69537,Average,8,Electric,2000,5,1,14.99403218,Good
Bus,78470,Average,10,Electric,2000,7,3,10.71143005,Weak
Bus,48431,Poor,3,Electric,2000,1,3,18.73523191,Weak
Bus,59753,Poor,2,Electric,1500,4,0,18.64367694,New
Van,56701,Good,2,Electric,1000,7,2,12.09287132,Good
Motorcycle,51595,Poor,2,Petrol,800,8,3,11.17597946,New
Truck,47764,Good,6,Electric,800,10,3,17.87515871,New
Truck,42438,Poor,5,Petrol,2500,9,1,12.18191985,New
Van,40888,Poor,1,Petrol,800,3,2,17.63450836,Weak
Bus,59955,Poor,7,Petrol,2500,2,2,13.06862164,Good
SUV,40722,Good,4,Petrol,1000,10,3,19.12716758,Weak
Van,71910,Average,9,Diesel,2000,3,1,11.86978216,Weak
Bus,56009,Poor,8,Electric,800,3,2,17.95007762,Weak
Bus,34370,Average,5,Diesel,2000,1,0,11.65879271,Good
Motorcycle,51756,Average,6,Petrol,1500,5,3,18.79832176,Weak
Truck,71801,Good,5,Petrol,1500,9,1,19.29481181,Good
SUV,51915,Average,6,Diesel,1500,10,1,16.8727685,New
Bus,43559,Average,5,Diesel,800,9,1,19.90882571,Weak
Motorcycle,74513,Average,7,Electric,1000,5,3,12.31551264,Good
Bus,47437,Average,10,Petrol,2500,10,0,15.51553231,Weak
Bus,67097,Good,2,Petrol,1500,10,0,10.21859773,Weak
Car,70675,Average,9,Electric,1500,3,1,17.7305521,Good
Bus,60522,Poor,10,Diesel,2000,8,3,18.45301425,Weak
Motorcycle,69522,Average,5,Petrol,800,2,3,19.19991118,New
Van,76455,Average,7,Electric,2500,2,2,19.6217185,Weak
Truck,72754,Average,1,Diesel,800,6,0,10.0623717,Weak
Motorcycle,45370,Average,2,Petrol,1500,2,1,11.82318537,Good
SUV,31651,Poor,4,Electric,2500,9,3,11.63506051,New
Car,77003,Average,6,Diesel,2000,2,1,12.44208693,Good
Bus,61371,Average,3,Electric,1000,5,0,14.35797048,Good
SUV,65049,Good,6,Electric,800,9,3,11.39362571,Weak
SUV,74128,Poor,7,Electric,2000,9,0,15.96358485,Weak
Van,74385,Poor,9,Electric,2000,4,2,13.56098954,New
Truck,48140,Average,9,Diesel,1500,7,2,12.16716766,Good
Motorcycle,33617,Good,7,Electric,800,4,2,13.07987582,Weak
Car,77731,Poor,6,Petrol,1000,3,3,18.14402885,New
Truck,62645,Good,4,Petrol,2500,3,3,14.95191807,Weak
SUV,67504,Average,7,Diesel,2000,9,3,18.84216146,Good
Motorcycle,75175,Good,6,Petrol,1000,3,2,11.04567884,Good
Bus,31984,Average,9,Electric,1500,8,2,17.63521924,Weak
Car,48614,Average,10,Electric,2500,9,3,10.24628587,Weak
SUV,36117,Good,2,Diesel,1000,10,3,12.72069604,Good
Van,38671,Average,7,Petrol,2000,6,3,10.43499241,New
Car,67390,Poor,8,Electric,2500,5,1,16.12956194,New
Car,37690,Poor,6,Electric,1000,1,1,16.73236157,Weak
Motorcycle,49460,Good,8,Electric,800,6,3,15.01362464,Weak
Car,66149,Good,7,Diesel,1000,6,3,19.28433338,Good
Bus,60001,Average,8,Diesel,2000,2,1,19.68158934,New
Car,75876,Average,3,Diesel,800,8,1,10.86209132,Good
Truck,43251,Good,4,Petrol,2000,3,3,17.17143138,New
Truck,71953,Good,2,Diesel,2500,4,1,16.55679034,Weak
Truck,73017,Good,9,Electric,1500,3,2,19.87610118,Weak
Bus,62635,Good,9,Diesel,2500,8,0,17.25580861,New
Motorcycle,30514,Good,3,Electric,2000,7,1,12.8892819,Weak
Van,36208,Poor,5,Electric,2500,2,0,10.23514176,New
SUV,55482,Good,9,Petrol,1500,3,2,13.5782061,Weak
Van,49353,Poor,7,Petrol,1000,3,0,12.63929542,Weak
Motorcycle,42401,Average,7,Electric,800,2,1,15.26573778,Weak
Truck,64605,Good,10,Electric,800,9,3,14.51138048,Weak
Car,50546,Poor,5,Petrol,2500,7,0,13.31828675,Good
Van,32757,Good,7,Petrol,2000,1,1,10.16584529,Good
Van,54692,Good,2,Diesel,2500,2,3,15.27618716,Weak
Car,31867,Average,5,Petrol,800,8,0,15.93362559,Weak
Bus,54523,Good,9,Electric,800,9,2,14.0411152,Good
SUV,36543,Poor,6,Diesel,2000,5,0,14.42292846,Weak
Van,40716,Poor,6,Petrol,1500,7,0,19.90617553,Weak
SUV,55345,Average,1,Petrol,2500,1,2,15.17544746,New
Motorcycle,34126,Good,6,Electric,1000,8,2,16.12036081,Weak
Bus,60058,Poor,7,Electric,1000,3,3,18.34505321,New
Car,39808,Average,2,Diesel,1000,7,0,17.12454561,Good
Motorcycle,70415,Good,7,Petrol,1500,6,2,10.70858177,New
Bus,40629,Average,4,Petrol,2500,10,0,13.953148,Good
SUV,71996,Average,2,Electric,2500,3,0,14.77462777,New
Car,39091,Average,3,Electric,800,3,3,12.0454777,Weak
Motorcycle,67159,Good,9,Electric,2000,4,1,17.64663684,Weak
Car,79531,Poor,5,Electric,1000,8,3,11.39779482,Weak
SUV,36387,Poor,1,Electric,2000,9,1,14.1832174,New
Car,35439,Good,9,Petrol,2500,9,0,15.86205161,New
Car,30127,Average,2,Electric,2000,8,2,19.94359068,Good
Bus,45943,Good,4,Electric,2000,1,0,13.15239796,New
Car,65322,Poor,4,Diesel,2000,7,0,12.06406631,Good
Van,40891,Poor,7,Diesel,2500,1,2,18.71292384,New
Truck,72697,Good,4,Petrol,1000,6,1,16.0428437,New
Motorcycle,77707,Average,1,Diesel,800,4,3,14.6600066,Weak
SUV,32801,Average,4,Diesel,1500,6,0,11.25646217,New
Bus,30019,Poor,1,Diesel,800,3,0,18.06966303,Good
Motorcycle,53378,Average,4,Diesel,1500,7,0,19.72437562,New
Bus,58473,Good,5,Petrol,1500,6,0,16.54348483,Weak
Van,72685,Good,2,Petrol,2000,6,1,13.60134173,Good
Truck,35957,Poor,9,Electric,2500,9,2,11.90475585,Good
Truck,74755,Poor,4,Electric,2500,5,0,19.31001538,Weak
Truck,30150,Poor,6,Petrol,800,3,3,18.61465289,Good
Bus,74643,Good,5,Diesel,2500,5,2,13.76077591,New
Truck,78716,Poor,10,Electric,800,6,0,13.32316513,Weak
Bus,66970,Average,1,Electric,2000,10,2,12.34707439,Weak
Truck,52093,Good,4,Diesel,1500,7,0,13.24075247,Good
SUV,70649,Average,8,Diesel,1000,3,1,19.95745402,Weak
Car,74571,Average,10,Petrol,2500,7,1,12.83739715,Good
Car,34500,Poor,4,Petrol,2000,9,1,14.13412349,Weak
Truck,38436,Poor,9,Petrol,2500,10,2,18.50665528,Weak
Truck,30893,Poor,3,Electric,2500,9,2,12.41016434,New
Car,78097,Poor,6,Petrol,1000,3,0,13.29421115,Good
Van,76235,Poor,7,Petrol,1000,6,2,11.67364935,Weak
Van,49626,Good,7,Diesel,1000,3,0,10.29917152,Good
SUV,65726,Poor,6,Petrol,1000,5,3,15.5739335,Good
SUV,58073,Good,6,Diesel,1500,7,3,15.62127706,New
Truck,32028,Average,8,Petrol,1500,5,1,16.2258475,New
Bus,62096,Average,1,Electric,800,6,2,16.94078895,New
Van,78837,Average,3,Diesel,800,2,0,11.65009665,Good
Car,49401,Good,9,Petrol,800,7,3,18.07176663,New
Bus,49981,Poor,6,Diesel,1000,4,1,19.39604923,Good
Car,40657,Average,6,Petrol,1500,5,3,18.38219524,Weak
Motorcycle,79090,Average,7,Electric,800,8,0,18.43883467,Weak
Motorcycle,71780,Poor,9,Electric,1500,6,0,12.41669231,Good
Van,30682,Good,5,Diesel,1500,7,0,12.22326241,New
Motorcycle,34459,Good,5,Diesel,2000,9,2,13.53308181,New
Car,60301,Average,4,Electric,1000,9,1,12.95361338,Weak
Motorcycle,67872,Average,2,Diesel,800,8,3,13.87112718,Good
Motorcycle,65762,Good,9,Diesel,1500,1,2,19.93860004,New
Car,66139,Average,7,Diesel,2000,6,2,12.11938082,Weak
Car,39216,Average,7,Electric,800,3,3,18.65012416,Good
SUV,39555,Poor,8,Electric,2500,4,1,18.47711505,Weak
Car,78283,Average,5,Petrol,800,1,2,10.05829174,Weak
SUV,48835,Average,4,Diesel,1000,10,1,13.02796801,New
Truck,41022,Poor,10,Diesel,2000,10,3,13.03483794,Good
Car,56221,Average,1,Petrol,1500,1,0,17.78570121,Good
Truck,52730,Average,6,Petrol,1000,4,3,10.80646658,New
Motorcycle,46777,Poor,9,Electric,2500,2,3,13.63264924,Weak
Van,34809,Good,1,Petrol,2500,5,1,15.14972318,Weak
Van,42617,Poor,5,Electric,1000,8,0,15.72779353,Weak
Motorcycle,69222,Average,9,Petrol,800,9,2,18.03936211,Good
SUV,34878,Good,1,Petrol,1500,3,2,11.4286439,New
Truck,50202,Good,9,Diesel,800,6,1,10.57614028,Weak
Bus,38372,Poor,8,Diesel,2500,8,3,18.57859118,New
SUV,50954,Average,4,Diesel,2000,10,0,18.84934604,Good
Bus,76421,Average,5,Petrol,800,4,0,13.82287464,Good
Truck,61740,Poor,9,Petrol,800,9,3,10.59776384,Weak
Van,48799,Average,1,Diesel,800,7,1,18.57605586,Good
SUV,49261,Good,2,Electric,800,1,2,10.16616335,Good
Motorcycle,72381,Good,2,Electric,2500,1,3,14.49203227,Good
SUV,64336,Good,4,Diesel,1000,1,1,12.48235189,Good
SUV,48460,Good,8,Petrol,1500,4,2,11.20376884,New
Motorcycle,69010,Poor,2,Petrol,1500,2,2,15.97392385,New
Motorcycle,43695,Good,8,Electric,800,9,0,10.36742365,Good
SUV,62683,Good,8,Petrol,1000,6,3,12.49771215,Good
Car,55692,Good,3,Petrol,2000,1,3,10.84530166,Good
Motorcycle,46393,Good,3,Diesel,2000,3,3,16.99054926,Weak
Car,44244,Average,10,Electric,2500,6,0,13.56086563,Weak
Van,66659,Poor,2,Petrol,1500,2,2,19.16419429,Weak
Truck,45579,Good,7,Diesel,1500,9,1,17.10471722,Weak
SUV,75687,Average,2,Electric,2500,10,3,14.56563931,Good
SUV,78783,Good,2,Electric,800,1,2,16.32369724,New
Van,64543,Poor,8,Diesel,1500,5,1,14.84754537,New
SUV,43223,Good,1,Petrol,2500,5,1,15.51013068,New
Bus,67103,Poor,7,Diesel,800,8,3,19.1312465,New
Car,44469,Average,4,Electric,800,10,0,16.71610974,New
Motorcycle,41336,Average,5,Diesel,1500,7,0,18.06953906,Good
Motorcycle,41093,Average,6,Electric,1000,9,3,18.26016228,Good
Motorcycle,77730,Poor,5,Electric,1000,4,2,15.62992167,Weak
Car,51691,Poor,2,Diesel,800,1,0,19.98599596,New
SUV,77238,Average,9,Diesel,1000,1,2,13.11661648,Weak
SUV,32773,Average,5,Petrol,1000,4,1,10.58301107,Good
Motorcycle,62212,Good,3,Diesel,1500,9,1,10.5256937,Good
Van,79499,Average,5,Electric,1500,1,0,15.50308588,Good
SUV,42026,Average,5,Electric,2500,1,0,10.02552023,Good
Motorcycle,77769,Good,9,Electric,1500,4,1,19.5663124,New
Car,33880,Poor,2,Petrol,1000,7,1,16.58139639,Good
Bus,38978,Average,6,Electric,800,8,2,10.47251194,Good
Motorcycle,73029,Average,4,Diesel,1500,9,2,17.76478004,Good
SUV,39366,Good,2,Petrol,2500,7,3,15.80847408,New
SUV,57356,Good,7,Petrol,2500,3,0,13.14304057,New
Car,34562,Poor,6,Electric,2000,8,1,17.17534077,New
Bus,51271,Good,5,Petrol,2000,6,3,12.04049311,New
Car,38298,Poor,1,Diesel,800,5,0,12.18804157,Weak
Truck,50859,Good,6,Petrol,800,2,0,19.09202924,Weak
Van,61122,Poor,9,Diesel,1000,6,3,13.73431609,Weak
Van,55653,Good,7,Diesel,2000,4,2,11.9432932,Good
Truck,70227,Poor,10,Diesel,2500,9,0,11.72718999,New
Car,40552,Good,6,Diesel,800,10,2,10.49227128,Good
Bus,78949,Poor,6,Electric,2000,1,0,19.916892,New
Truck,43564,Good,10,Petrol,1000,7,1,11.3272326,New
Motorcycle,62409,Average,8,Petrol,2000,6,2,15.00144918,New
Motorcycle,40930,Average,8,Petrol,1500,6,1,13.14453144,Weak
Van,31493,Good,6,Petrol,800,7,0,10.35609731,New
Truck,55150,Good,6,Diesel,1000,9,0,15.28088997,Weak
SUV,78777,Good,9,Petrol,2000,10,2,11.40589201,Good
SUV,51438,Poor,1,Diesel,2500,10,0,12.49766073,New
Truck,54792,Poor,4,Electric,1500,2,0,12.64546222,Good
Bus,38077,Average,3,Petrol,800,9,1,13.18091047,Good
Van,39151,Average,4,Petrol,800,7,2,13.21685419,New
Van,70695,Average,10,Electric,800,5,3,10.46604401,New
Bus,51615,Average,4,Petrol,1500,9,3,14.31213727,Weak
SUV,36011,Poor,8,Diesel,1000,6,1,10.95653349,Good
Bus,57204,Poor,8,Diesel,1000,7,0,14.76415004,New
Truck,57232,Average,8,Diesel,2000,2,1,13.4877193,Good
Bus,78756,Poor,5,Electric,800,6,2,15.47745479,Good
SUV,51836,Good,10,Diesel,1000,6,1,10.72519148,Good
Motorcycle,40016,Average,6,Diesel,1500,3,2,11.35246468,Good
Motorcycle,67665,Good,9,Diesel,1500,9,1,19.49411815,Good
Bus,64606,Poor,5,Petrol,800,5,0,10.64908182,Weak
Van,45859,Good,2,Diesel,1500,3,2,17.60557983,Weak
Truck,44492,Average,2,Diesel,2000,2,3,10.11203796,Weak
Motorcycle,60644,Poor,9,Petrol,1500,4,2,17.15586372,Good
Car,38642,Average,2,Petrol,1000,4,3,10.58846579,Weak
SUV,77607,Poor,9,Electric,2500,8,1,16.83704716,Weak
Truck,78532,Good,8,Petrol,2000,4,0,12.92194127,Good
Bus,40997,Poor,5,Electric,1000,4,2,17.96993506,Weak
Bus,72399,Good,7,Petrol,2500,10,2,10.07590852,Weak
Motorcycle,78902,Good,10,Diesel,2500,6,1,15.90471541,Weak
Bus,63919,Good,3,Petrol,800,3,2,18.37616033,New
Bus,64745,Good,7,Diesel,800,3,0,12.13881017,Good
Bus,33921,Good,8,Petrol,1000,2,3,18.8016158,New
Truck,77669,Good,9,Petrol,1000,9,0,13.17453095,Good
Bus,57342,Poor,7,Electric,800,4,3,12.50252736,New
Car,46858,Good,8,Petrol,800,9,0,16.11586893,Good
Motorcycle,56092,Average,3,Petrol,1000,1,2,15.62629166,New
Car,76591,Good,1,Petrol,800,1,2,11.74243664,Good
Car,48493,Poor,3,Diesel,1500,4,0,16.62020962,Weak
Bus,44626,Poor,4,Electric,2000,10,2,16.1199722,Weak
Van,63272,Poor,5,Diesel,1000,2,3,16.52075204,New
Motorcycle,73855,Poor,6,Diesel,1500,8,0,19.5089749,Good
Motorcycle,67449,Good,4,Diesel,800,10,3,12.77915209,Good
SUV,76781,Poor,3,Electric,2500,10,2,16.48506553,New
Truck,47857,Good,4,Diesel,1000,10,3,16.12113146,Weak
Bus,41190,Good,7,Diesel,1500,2,1,15.28992762,New
SUV,69972,Poor,7,Petrol,800,2,1,14.59759355,Good
Car,32859,Good,6,Petrol,2000,10,1,16.55838981,Weak
Truck,40726,Average,6,Diesel,2500,10,1,17.39461173,New
Van,79479,Good,4,Electric,2000,7,3,16.94485583,New
SUV,31763,Good,10,Petrol,2000,1,3,14.18635208,Good
Motorcycle,78417,Poor,2,Petrol,2500,7,2,18.65720149,Weak
Motorcycle,32422,Poor,6,Diesel,1500,10,2,18.50670806,Good
Truck,44271,Good,5,Diesel,2000,7,1,15.34085079,Good
Van,78708,Average,1,Petrol,1000,10,2,16.73903073,Good
SUV,30446,Average,9,Diesel,1500,4,1,17.84962283,Weak
Motorcycle,61300,Good,7,Diesel,2500,1,0,14.41100171,Weak
Van,33836,Average,10,Petrol,2000,6,1,14.24919865,Good
Van,77467,Average,6,Petrol,2500,3,0,15.05348614,Good
SUV,78730,Poor,5,Electric,2500,8,3,13.97186522,Good
Truck,41019,Good,8,Petrol,2000,1,0,17.77328757,Good
Car,42550,Poor,6,Diesel,800,4,1,19.48671513,Good
Car,51736,Poor,4,Electric,2500,10,0,16.31320609,Weak
Bus,44641,Average,8,Diesel,800,9,3,11.73633042,New
Van,37694,Average,5,Petrol,2000,7,2,17.52134014,Good
Bus,75274,Average,6,Electric,1500,6,2,10.65233869,New
Motorcycle,33235,Good,8,Petrol,1500,6,3,12.66131977,Good
Car,73584,Average,3,Diesel,1500,8,3,12.64680951,Weak
Car,67140,Good,7,Petrol,1500,10,0,16.38958677,Good
Bus,57342,Good,4,Diesel,2000,7,3,14.65812546,Weak
SUV,40095,Good,3,Diesel,1500,5,1,15.06018991,New
SUV,66187,Good,4,Electric,1000,8,0,15.93822313,Good
Van,52731,Poor,5,Diesel,2000,7,2,12.9994364,Good
SUV,69146,Good,6,Petrol,2500,3,0,16.34199774,New
SUV,76929,Average,3,Diesel,800,7,2,18.11281743,Weak
Car,36943,Average,9,Diesel,1500,8,1,18.38449148,Good
SUV,50382,Good,2,Electric,1500,3,2,15.99814447,Good
Truck,38299,Good,9,Diesel,2000,7,1,17.1826988,Weak
Van,62813,Poor,5,Petrol,2500,4,2,15.88077289,Good
Motorcycle,58471,Good,9,Petrol,2500,5,3,12.811784,Weak
SUV,54114,Average,1,Diesel,2000,6,2,12.38050761,Weak
Car,59810,Poor,6,Petrol,2000,4,3,15.86067734,Weak
Car,44480,Average,10,Petrol,1000,5,1,10.16551853,Good
SUV,42680,Poor,5,Petrol,800,4,1,10.19620168,Weak
Truck,56115,Poor,7,Petrol,1500,3,3,14.81537088,Good
Bus,57394,Average,4,Electric,800,1,1,13.12755574,Weak
Motorcycle,41754,Average,1,Electric,2500,3,0,16.34657916,Good
Van,66730,Average,10,Petrol,1000,10,0,12.90580418,New
Bus,67496,Good,4,Petrol,1000,8,2,11.23871985,New
Truck,55130,Average,2,Diesel,2500,5,3,10.0010644,New
Bus,44217,Good,1,Electric,1500,8,3,16.49025275,New
Truck,55975,Good,9,Diesel,1500,5,1,14.26990295,Good
Van,68929,Good,1,Electric,800,6,1,18.54047955,New
Car,42602,Good,2,Petrol,800,5,3,10.71535951,Good
Car,63624,Average,10,Diesel,800,5,3,15.3844612,Weak
Bus,53506,Average,7,Petrol,2500,8,3,11.17975139,Good
Bus,60407,Average,8,Diesel,1500,4,3,10.9413459,Weak
Van,65751,Average,4,Diesel,2000,4,0,12.51503127,Weak
Bus,54669,Good,8,Electric,1500,2,0,15.66300247,Good
Bus,45300,Average,4,Electric,800,2,2,19.15701767,New
Motorcycle,33642,Average,4,Petrol,1000,9,0,12.06780675,Weak
Motorcycle,72182,Poor,2,Diesel,2500,8,0,12.93533697,Weak
SUV,38462,Good,7,Petrol,1000,2,3,10.30151669,Good
SUV,66453,Poor,5,Petrol,1500,7,3,18.98354625,Weak
Van,72803,Average,6,Petrol,2500,10,3,16.86047018,New
Bus,41614,Average,5,Diesel,1500,6,3,12.67180338,Weak
Van,59907,Good,10,Electric,2500,1,0,16.26298454,New
Bus,72382,Poor,8,Diesel,800,10,1,19.12967329,Weak
Car,59818,Poor,4,Petrol,1000,9,0,16.09062866,Good
Car,64863,Poor,2,Petrol,800,10,3,13.01660703,Good
Motorcycle,58591,Average,3,Petrol,2500,9,1,14.44149137,Weak
SUV,65925,Average,4,Electric,800,6,3,15.63075139,Weak
Motorcycle,32976,Poor,9,Petrol,1500,10,1,16.30426472,New
Truck,77857,Good,4,Petrol,2000,3,1,13.4208605,Weak
Truck,43219,Average,6,Electric,1000,6,0,10.77451864,Weak
Van,35130,Poor,8,Electric,1000,4,3,10.28917691,New
SUV,43502,Average,8,Electric,1500,5,3,11.70684416,Good
Van,50213,Average,1,Diesel,2000,3,0,14.88310411,Weak
Van,70881,Good,5,Electric,800,1,0,16.17456472,Good
SUV,77061,Poor,7,Electric,2000,3,2,12.00538778,Good
Bus,72470,Good,4,Electric,2500,3,1,17.29168662,Good
Bus,79889,Average,3,Diesel,2500,8,2,17.13579529,New
Car,58031,Good,2,Electric,800,5,1,14.06728267,Good
Van,64123,Good,5,Diesel,800,7,1,12.50051198,Good
Truck,78044,Average,10,Diesel,2000,5,1,17.18758432,Good
Motorcycle,58984,Good,7,Electric,2000,8,3,15.28561538,Weak
Van,52629,Average,3,Diesel,2000,10,0,14.75715229,Good
Bus,33840,Average,9,Diesel,800,10,3,10.03036233,Weak
Truck,56553,Poor,4,Electric,2000,3,3,12.86534389,New
Truck,73025,Poor,5,Diesel,800,7,1,18.62902586,Good
Bus,62725,Average,4,Diesel,800,3,1,15.38665988,Good
Car,38286,Average,2,Petrol,800,6,2,18.8951288,Good
Van,35141,Good,4,Diesel,1500,3,0,14.08022106,New
Bus,30696,Good,6,Diesel,800,9,0,19.12609967,New
Van,79248,Average,7,Electric,800,8,0,15.44778567,Weak
Car,49258,Good,8,Diesel,2500,3,3,13.80706302,Good
Bus,45544,Poor,1,Diesel,2000,5,3,18.93735934,New
Truck,65424,Poor,6,Diesel,1000,4,3,14.24460563,Weak
Van,53319,Average,4,Petrol,2000,1,0,15.55053942,Good
Car,75863,Average,8,Petrol,800,5,2,14.80286128,Weak
Car,54838,Average,6,Diesel,1500,9,0,12.52064082,Weak
Van,37411,Poor,7,Diesel,800,4,1,17.91202107,New
Car,62310,Poor,7,Electric,2500,9,1,16.95187087,Weak
Bus,61812,Good,7,Diesel,1000,9,1,17.59493349,New
SUV,51202,Poor,3,Diesel,1000,6,2,14.45587318,Weak
Car,64200,Average,9,Diesel,800,1,2,14.76753004,New
Car,72935,Average,3,Diesel,800,1,0,12.68858556,Weak
Truck,64622,Poor,6,Diesel,2500,10,3,19.5782588,New
Motorcycle,57090,Good,5,Petrol,1000,8,2,13.24457917,Good
SUV,45010,Good,6,Petrol,2000,9,2,19.39195574,New
Bus,39376,Poor,1,Electric,1000,4,1,17.33571505,Weak
SUV,31645,Average,9,Electric,1000,6,1,10.45192344,Good
Bus,40943,Good,8,Petrol,1000,9,0,13.17780537,New
Van,51064,Average,10,Diesel,2500,5,0,16.05145237,Good
SUV,69707,Average,6,Diesel,1500,3,3,14.32515792,Weak
Motorcycle,38282,Poor,8,Petrol,1000,3,2,19.06654235,New
SUV,79623,Poor,6,Petrol,1000,7,2,19.30366832,Good
Motorcycle,60699,Good,8,Petrol,2500,5,3,14.11159014,Weak
Motorcycle,41275,Average,6,Petrol,2500,8,2,19.2103643,New
Truck,79944,Average,7,Petrol,1000,4,3,11.9244048,Good
Bus,64188,Good,7,Petrol,800,6,1,10.63357328,New
Truck,70300,Poor,2,Diesel,800,1,2,13.61594562,New
Van,58227,Poor,6,Electric,2500,10,2,16.53151077,New
Motorcycle,30134,Average,2,Petrol,2500,2,2,10.0186842,Weak
Motorcycle,45236,Poor,9,Electric,2500,7,1,12.72595392,Good
Van,65938,Average,4,Electric,1500,8,0,17.58113534,Good
Van,63763,Average,1,Electric,2500,10,0,14.81817235,New
Van,53211,Poor,9,Petrol,800,5,1,19.01670538,Good
Car,69283,Average,5,Electric,1500,1,2,17.66272543,Weak
Truck,57972,Poor,8,Diesel,1500,5,1,18.25643368,Weak
Motorcycle,65055,Poor,2,Petrol,800,4,1,17.80631302,Weak
Van,57664,Average,6,Electric,2500,9,3,13.95313251,Good
Motorcycle,73374,Average,6,Electric,2000,8,2,19.05867907,Weak
Truck,64517,Poor,2,Electric,800,1,3,15.47354067,New
Car,45078,Good,3,Petrol,1500,3,0,15.59740631,New
Motorcycle,50225,Poor,4,Electric,2000,6,3,16.30010036,New
Motorcycle,39574,Good,10,Petrol,1000,9,0,18.89253046,Good
Motorcycle,77939,Average,2,Diesel,1000,8,1,16.88864934,New
Van,42519,Average,1,Diesel,1500,3,0,16.8198801,Good
SUV,47232,Poor,7,Petrol,800,2,2,17.95658441,Good
Van,63690,Good,7,Petrol,800,2,1,15.82165807,Good
Car,43621,Good,5,Diesel,2000,10,3,15.09552874,Weak
SUV,68786,Poor,7,Petrol,1000,3,2,13.95084199,New
Motorcycle,50426,Poor,10,Petrol,1000,2,0,14.7078442,Weak
Motorcycle,37040,Poor,8,Electric,1500,4,0,10.78074231,Weak
Bus,71551,Poor,2,Diesel,1500,6,2,15.97041185,New
Truck,77249,Average,8,Petrol,1500,10,1,18.06469004,Good
Car,74260,Good,7,Electric,1500,8,3,11.84282606,New
Bus,60086,Good,1,Petrol,2000,1,2,17.69374785,Good
Bus,51813,Poor,8,Diesel,2500,10,2,12.21485177,Good
Car,50762,Good,3,Electric,1500,3,3,15.49553278,New
Truck,53502,Average,8,Electric,2000,10,2,11.4496289,Weak
Motorcycle,62930,Average,8,Electric,1000,8,3,12.23750504,New
Bus,58436,Average,5,Electric,2500,10,1,17.40602049,New
Bus,56402,Good,5,Diesel,2500,7,1,16.97913306,Weak
Car,59024,Poor,2,Diesel,2500,4,0,18.906701,Good
Motorcycle,53646,Poor,10,Electric,1500,7,3,15.17520728,Good
SUV,79766,Poor,8,Electric,1500,4,3,12.54678286,New
Car,78241,Good,1,Petrol,800,8,2,18.17976933,New
Motorcycle,47984,Poor,3,Petrol,2500,8,3,11.59031229,Weak
Truck,69207,Good,1,Petrol,2500,8,2,15.96082857,Weak
SUV,73874,Good,2,Diesel,1500,6,0,15.25053583,Good
Bus,51325,Poor,5,Electric,1500,8,2,10.81476747,Weak
Bus,41925,Average,2,Petrol,2500,5,0,13.72119036,Good
Car,34505,Poor,3,Petrol,2500,5,0,16.73595196,Weak
Truck,63229,Average,7,Diesel,1000,6,2,12.25595742,New
Bus,76107,Average,2,Diesel,1000,9,1,19.41734375,Weak
Van,46571,Poor,5,Diesel,2500,10,1,16.38215175,Weak
Motorcycle,46705,Average,8,Petrol,2000,8,1,11.76442601,New
Car,61264,Poor,3,Diesel,1000,5,3,19.20989839,Good
Truck,47932,Average,10,Electric,1500,10,3,19.59079602,New
Motorcycle,74952,Good,6,Electric,800,10,3,18.52664409,New
Van,70609,Average,3,Diesel,2500,3,1,18.11508945,Good
SUV,51772,Good,2,Electric,2000,7,1,18.71761143,New
Motorcycle,38658,Average,6,Petrol,800,3,0,16.65084554,New
Van,66741,Good,9,Diesel,2000,2,1,17.64666923,Weak
Car,66701,Good,5,Electric,1000,1,0,11.21069179,New
Van,32339,Poor,1,Diesel,2500,10,2,17.8834411,Weak
SUV,70563,Average,4,Diesel,2500,9,3,12.85057464,Weak
Bus,67001,Average,2,Diesel,1500,7,3,14.09572021,New
